ARBANS010010,BMA,XBUE
ARP290071462,COME,XBUE
ARP495251018,GGAL,XBUE
ARP9028N1016,TECO2,XBUE
ARPERE010103,PESA,XBUE
ARSIDE010029,ERAR,XBUE
AT0000743059,OMV,XDBC
AU000000AMP6,AMP,XNZE
AU000000UGL5,UGL,XASX
BE0389552978,I:BELCU,XBRU
BE0389555039,I:BEL20,XBRU
BE0389856130,I:BELM,XBRU
BMG0451H1170,ARCHER,MERK
BMG1738J1247,BWO,MERK
BMG348041077,142,XGEM
BMG3682E1921,FRO,MERK
BMG396372051,GOGL,MERK
BMG454221059,HLNG,MERK
BMG5137R1088,JIN,MERK
BMG6635W1029,NOF,MERK
BMG684371393,2343,XGEM
BMG7945E1057,SDRL,MERK
CA56501R1064,945,XGEM
CA9506771042,WRL,MERK
CA9600081009,F44W,XFRA
CH0000629821,I:SMCI,XSWX
CH0002168083,PWTN,LIQU
CH0002497458,SGSN,LIQU
CH0008742519,SCMN,LIQU
CH0009002962,BARN,LIQU
CH0009980894,I:SMI,XSWX
CH0009987501,I:SXGE,XSWX
CH0011029946,IFCN,LIQU
CH0025238863,KNIN,LIQU
CH0038863350,NESN,LIQU
CH0102659627,GAM,LIQU
CH0126881561,SREN,LIQU
CH0198251305,EEE,ENAX
CNE1000001T8,2600,XGEM
CNE1000001Z5,3988,XGEM
CNE1000002H1,939,XGEM
CNE1000003G1,1398,XGEM
CNE100000PP1,2208,XGEM
CY0100470919,PRS,MERK
CY0100962113,SONG,MERK
CZ0005112300,CEZ,XPRA
CZ0008040318,MONET,XPRA
DE0005140008,DBK,XDBC
DE0005501357,SPR,XDBC
DE0005557508,DTE,XDBC
DE0005772206,FIE,XDBC
DE0005773303,FRA,XDBC
DE0006048432,HEN3,XDBC
DE0006062144,1COV,XDBC
DE0006599905,MRK,XDBC
DE0007472060,WDI,XDBC
DE0008402215,HNR1,XDBC
DE0008430026,MUV2,ETFP
DE0008469008,I:DAX,XDBC
DE000A0CAYB2,WIN,XDBC
